Listado de Proyectos EN EVALUACION

ID;TITULAR;RUC;TITULO_PROYECTO;UNIDAD_PROYECTO;TIPO;ACTIVIDAD;FECHA_INICIO;ESTADO;DESCRIPCION;LONGITUD;LATITUD;RESOLUCION;LABEL
"1329";"SOCIEDAD MINERA CORONA S.A.";"20217427593";"Quinto Informe Técnico Sustentatorio de la Unidad Minera Yauricocha";"ACUMULACIÓN YAURICOCHA";"ITS";"Minería";"16/04/2023";"En Evaluación";"SIN DESCRIPCION";"-75.69496197";"-12.29977355";"";"null";
"1365";"PAN AMERICAN SILVER HUARON S.A.";"20546191541";"PLAN DE PARTICIPACIÓN CIUDADANA  - MEIA UM HUARÓN";"UNIDAD MINERA HUARÓN";"PPC";"Minería";"14/03/2023";"En Evaluación";"SIN DESCRIPCION";"-76.41094954";"-11.00433326";"";"null";
"1454";"PROYECTO ESPECIAL CHINECAS";"20164359701";"MEJORAMIENTO DEL CANAL DE IRRIGACIÓN IRCHIM, DESDE EL KM 0+000 AL KM 40+100. ÁMBITO DEL PROYECTO ESPECIAL CHINECAS EN EL DISTRITO DE CHIMBOTE-PROVINCIA DE SANTA-DEPARTAMENTO DE ANCASH";"CANAL DE IRRIGACIÓN IRCHIM";"Clasificación";"Agricultura";"23/11/2022";"En Evaluación";"SIN DESCRIPCION";"-78.48376429";"-8.90041532";"";"null";
"1330";"GOBIERNO REGIONAL AMAZONAS";"20479569861";"%u201CCREACIÓN DEL SERVICIO DE TRANSITABILIDAD ENTRE LOS CASERÍOS EL PORVENIR - LEJÍA ALTO - LEGÍA CHICO Y SAN JOSÉ DEL DISTRITO DE OMIA - PROVINCIA DE RODRÍGUEZ DE MENDOZA - DEPARTAMENTO DE AMAZONAS%u201D  CON CUI N°2470548";"%u201CCREACIÓN DEL SERVICIO DE TRANSITABILIDAD ENTRE LOS CASERÍOS EL PORVENIR - LEJIA ALTO - LEGIA CHICO Y SAN JOSE";"Clasificación";"Transportes";"12/04/2023";"En Evaluación";"SIN DESCRIPCION";"-77.3410276";"-6.51468783";"";"null";
"1376";"PLUSPETROL PERU CORPORATION S.A.";"20304177552";"INFORME TÉCNICO SUSTENTATORIO PARA LA MEJORA TECNOLÓGICA DEL MODO OPERATIVO DE LAS LOCACIONES DE PRODUCCIÓN DE GAS NATURAL CASHIRIARI 1 Y CASHIRIARI 3, LOTE 88";"EXPLOTACIÓN DE HIDROCARBUROS (PROYECTOS DE DESARROLLO Y PRODUCCION, INCLUYENDO LOS QUE PLANTEEN EL USO DE LA FRACTURACION HIDRÁULICA)";"ITS";"Hidrocarburos";"12/12/2022";"En Evaluación";"SIN DESCRIPCION";"-72.73342128";"-11.87516445";"";"null";
"1192";"MUNICIPALIDAD PROVINCIAL DE PARURO";"20159308708";"CREACIÓN DEL CAMINO VECINAL R-081015EMP. CU 15-18 (TOCTOHUAYLLA)-CHOCCOPINQUILLO-COLLPA-EMP. CU 1505 (NAYHUA) DE LOS DISTRITOS DE HUANOQUITE Y PACCARITAMBO DISTRITO DE HUANOQUITE - PROVINCIA DE PARURO - DEPARTAMENTO DE CUSCO%u201D CON CUI 2415916";"CAMINO VECINAL R-081015EMP. CU 15-18";"Clasificación";"Transportes";"25/03/2023";"En Evaluación";"SIN DESCRIPCION";"-71.97942339";"-13.78211931";"";"null";
"1381";"AVOCADO PACKING COMPANY S.A.C.";"20555757469";"PLANTA EMPACADORA DE FRUTAS FRESCAS (PEFF) - OLMOS";"LIMPIEZA, SELECCIÓN, PRESERVACIÓN Y EMPACADO DE FRUTAS Y HORTALIZAS";"Clasificación";"Agricultura";"26/01/2023";"En Evaluación";"SIN DESCRIPCION";"-80.06067762";"-6.3080603";"";"null";
"1382";"INKA´S BERRIES S.A.C.";"20520866630";"FUNDO CHAMBARA";"CULTIVOS AGRÍCOLAS DESARROLLADOS EN FORMA INTENSIVA";"Clasificación";"Agricultura";"25/01/2023";"En Evaluación";"SIN DESCRIPCION";"-77.31808739";"-11.1155611";"";"null";
"1386";"MINERA BATEAS S.A.C.";"20510704291";"PLAN DE PARTICIPACIÓN CIUDADANA DURANTE LAS ETAPAS DE ELABORACIÓN Y EVALUACIÓN DE LA TERCERA MODIFICACIÓN DEL EIA AMPLIACIÓN DE MINA Y PLANTA DE BENEFICIO HUAYLLACHO DE 1500 TMD A 2000 TMD DE U.M. CAYLLOMA";"EXPLOTACIÓN, BENEFICIO Y LABOR GENERAL MINERO METÁLICOS";"PPC";"Minería";"13/01/2023";"En Evaluación";"SIN DESCRIPCION";"-71.84880446";"-15.19775645";"";"null";
"1103";"SIERRA ANTAPITE S.A.C.";"20601434335";"PLAN DE PARTICIPACIÓN CIUDADANA DE LA MODIFICACIÓN DE ESTUDIO DE IMPACTO AMBIENTAL DETALLADO U.M. ANTAPITE";"UNIDAD MINERA ANTAPITE";"PPC";"Minería";"24/03/2023";"En Evaluación";"SIN DESCRIPCION";"-75.06702718";"-13.9775884";"";"null";
"1110";"AUTORIDAD PARA LA RECONSTRUCCION CON CAMBIOS";"20602114091";"PROYECTO: CREACIÓN DEL SERVICIO DE PROTECCIÓN CONTRA INUNDACIONES EN LA QUEBRADA SAN IDELFONSO, EN LOS DISTRITOS DE EL PORVENIR, TRUJILLO Y VICTOR LARCO HERRERA DE LA PROVINCIA DE TRUJILLO - DEPARTAMENTO DE LA LIBERTAD";"SIN UNIDAD";"IGAPRO";"Agricultura";"20/03/2023";"En Evaluación";"SIN DESCRIPCION";"-78.98332021";"-8.04382788";"";"null";
"1200";"CIA MINERA PODEROSA S A";"20137025354";"TERCER INFORME TÉCNICO SUSTENTATORIO MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL PARA LA AMPLIACIÓN DE OPERACIONES MINERAS Y LA PLANTA DE BENEFICIO SANTA MARÍA I DE 600 A 1000 TMD.";"SANTA MARIA";"ITS";"Minería";"24/03/2023";"En Evaluación";"SIN DESCRIPCION";"-77.64552296";"-7.7571469";"";"null";
